idx,sentence,label,processed_sentence
743,"Radiation therapy oncology group protocol 0229: a phase II trial of 
neoadjuvant therapy with concurrent chemotherapy and fulldose radiation therapy followed by 
surgical resection and consolidative therapy for locally advanced nonsmall cell carcinoma of 
the lung.",NSCLC,radiation therapy oncology group protocol phase ii trial neoadjuvant therapy concurrent chemotherapy fulldose radiation therapy follow surgical resection consolidative therapy locally advanced nonsmall cell carcinoma lung
744,Int J Radiat Oncol Biol Phys 2012;84:456463.,NSCLC,int j radiat oncol biol phys
745,"Patterns of failure after resection of nonsmallcell lung cancer: implications 
for postoperative radiation therapy volumes.",NSCLC,pattern failure resection nonsmallcell lung cancer implication postoperative radiation therapy volume
746,"Int J Radiat Oncol Biol Phys 2006;65:10971105.95 Lally BE, et al.",NSCLC,int j radiat oncol biol phys lally et al
747,"Postoperative radiotherapy for stage II or III nonsmallcell lung cancer using 
the surveillance, epidemiology, and end results database.",NSCLC,postoperative radiotherapy stage ii iii nonsmallcell lung cancer surveillance epidemiology end result database
748,"A phase II study of concurrent carboplatin and paclitaxel and thoracic 
radiotherapy for completely resected stage II and IIIA nonsmall cell lung cancer.",NSCLC,phase ii study concurrent carboplatin paclitaxel thoracic radiotherapy completely resect stage ii iiia nonsmall cell lung cancer
749,"J Thorac 
Oncol 2007;2:287292.
97 Corso CD, et al. Reevaluation of the role of postoperative radiotherapy and the impact of 
radiation dose for nonsmallcell lung cancer using the National Cancer Database.",NSCLC,j thorac oncol corso cd et al reevaluation role postoperative radiotherapy impact radiation dose nonsmallcell lung cancer national cancer database
750,"Variations in target volume definition for postoperative radiotherapy in 
stage III nonsmallcell lung cancer: analysis of an international contouring study.",NSCLC,variation target volume definition postoperative radiotherapy stage iii nonsmallcell lung cancer analysis international contouring study
751,"Int J Radiat 
Oncol Biol Phys 2010; 76:11061113.",NSCLC,int j radiat oncol biol phys
752,"An individual patient data metaanalysis of outcomes and prognostic factors 
after treatment of oligometastatic nonsmallcell lung cancer.",NSCLC,individual patient datum metaanalysis outcome prognostic factor treatment oligometastatic nonsmallcell lung cancer
753,"Patterns of recurrence after curativeintent radiation for oligometastases 
confined to one organ.",NSCLC,pattern recurrence curativeintent radiation oligometastase confine organ
754,"An initial report of a radiation doseescalation trial in patients with one to five 
sites of metastatic disease.",NSCLC,initial report radiation doseescalation trial patient site metastatic disease
755,"Local consolidative therapy versus maintenance therapy or observation 
for patients with oligometastatic nonsmallcell lung cancer without progression after first
line systemic therapy: a multicentre, randomised, controlled, phase 2 study.",NSCLC,local consolidative therapy versus maintenance therapy observation patient oligometastatic nonsmallcell lung cancer progression line systemic therapy multicentre randomise control phase study
756,"Local consolidative therapy vs. maintenance therapy or observation for 
patients with oligometastatic nonsmallcell lung cancer: longterm results of a multiinstitutional, 
phase II, randomized study.",NSCLC,local consolidative therapy maintenance therapy observation patient oligometastatic nonsmallcell lung cancer longterm result multiinstitutional phase ii randomized study
757,"Consolidative radiotherapy for limited metastatic nonsmallcell lung cancer: A 
phase 2 randomized clinical trial.",NSCLC,consolidative radiotherapy limited metastatic nonsmallcell lung cancer phase randomize clinical trial
758,"Pembrolizumab with or without radiotherapy for metastatic nonsmallcell 
lung cancer: a pooled analysis of two randomised trials.",NSCLC,pembrolizumab radiotherapy metastatic nonsmallcell lung cancer pool analysis randomised trial
759,Palliative radiotherapy trials for bone metastases: a systematic review.,NSCLC,palliative radiotherapy trial bone metastasis systematic review
760,"Palliative radiotherapy for bone metastases: an ASTRO evidencebased 
guideline.",NSCLC,palliative radiotherapy bone metastasis astro evidencebase guideline
761,Int J Radiat Oncol Biol Phys 2011;79:965976.,NSCLC,int j radiat oncol biol phys
762,"Prospective study of palliative hypofractionated radiotherapy (8.5 Gy x 
2) for patients with symptomatic nonsmallcell lung cancer.",NSCLC,prospective study palliative hypofractionate radiotherapy gy x patient symptomatic nonsmallcell lung cancer
763,"Int J Radiat Oncol Biol Phys 
2004;58:10981105.
109 Medical Research Council Lung Cancer Working Party.",NSCLC,int j radiat oncol biol phys medical research council lung cancer working party
764,"A Medical Research Council (MRC) 
randomised trial of palliative radiotherapy with two fractions or a single fraction in patients 
with inoperable nonsmallcell lung cancer (NSCLC) and poor performance status.",NSCLC,medical research council mrc randomise trial palliative radiotherapy fraction single fraction patient inoperable nonsmallcell lung cancer nsclc poor performance status
765,"Medical 
Research Council Lung Cancer Working Party.",NSCLC,medical research council lung cancer working party
766,"Palliative thoracic radiotherapy in lung cancer: An American Society for 
Radiation Oncology evidencebased clinical practice guideline.",NSCLC,palliative thoracic radiotherapy lung cancer american society radiation oncology evidencebase clinical practice guideline
767,"Comparative effectiveness of aggressive thoracic radiation therapy and 
concurrent chemoradiation therapy in metastatic lung cancer.",NSCLC,comparative effectiveness aggressive thoracic radiation therapy concurrent chemoradiation therapy metastatic lung cancer
768,"Singlefraction stereotactic vs conventional multifraction radiotherapy for 
pain relief in patients with predominantly nonspine bone metastases: a randomized phase 2 
trial.",NSCLC,singlefraction stereotactic vs conventional multifraction radiotherapy pain relief patient predominantly nonspine bone metastasis randomized phase trial
769,"Stereotactic body radiotherapy versus conventional external beam 
radiotherapy in patients with painful spinal metastases: an openlabel, multicentre, randomised, 
controlled, phase 2/3 trial.",NSCLC,stereotactic body radiotherapy versus conventional external beam radiotherapy patient painful spinal metastasis openlabel multicentre randomise control phase trial
770,Decisions about whether ablation is feasible should be performed by interventional radiologists who perform IGTA as a prominent part of their practice.,NSCLC,decision ablation feasible perform interventional radiologist perform igta prominent practice
771,"IGTA includes radiofrequency ablation, microwave ablation, and cryoablation.",NSCLC,igta include radiofrequency ablation microwave ablation cryoablation
772,IGTA is a form of “local therapy” or “local ablative therapy.,NSCLC,igta form local therapy local ablative therapy
773,"”1  
  IGTA is a lung parenchymal sparing technique with at most a temporary decrement i n forced expiratory volume in the first second (FEV1) and diffusing 
capacity of the lung for carbon monoxide (DLCO),  which is statistically indistinguishable from baseline after recovery.26
Evaluation
  IGTA may be considered for those patients who are deemed “high risk”those with tumors that are for the most part surgically resectable but rendered 
medically inoperable due to comorbidities.",NSCLC,igta lung parenchymal sparing technique temporary decrement n force expiratory volume second diffuse capacity lung carbon monoxide dlco statistically indistinguishable baseline evaluation igta consider patient deem high tumor surgically resectable render medically inoperable comorbiditie
774,"In cases where IGTA is considered for patients who are high risk or borderline operable, a multidisciplinary 
evaluation is recommended.",NSCLC,case igta consider patient high risk borderline operable multidisciplinary evaluation recommend
775,"IGTA has been successfully accomplished in patients considered “high risk,” objectively defined with a single major and/or two or more minor criteria.",NSCLC,igta successfully accomplish patient consider high risk objectively define single major minor criterion
776,"Major criteria included an FEV1 or DCLO ≤50%, and minor criteria included a less depressed FEV1 or DLCO between 51%60%, age ≥75 years, pulmonary 
hypertension, left ventricular ejection fraction (",NSCLC,major criterion include dclo minor criterion include depressed dlco age year pulmonary hypertension leave ventricular ejection fraction
777,"LVEF) ≤40%, resting or exercise PaO2 <55 mmHg, and pCO 2 >45 mmHg.4",NSCLC,lvef rest exercise mmhg pco
778,"If an interventional radiologist or center is uncertain about the feasibility or safety of IGTA or the use of IGTA for radiation failure, consider obtaining an 
additional interventional radiology opinion from a highvolume specialized center.",NSCLC,interventional radiologist center uncertain feasibility safety igta use igta radiation failure consider obtain additional interventional radiology opinion highvolume specialized center
779,"Ablation
  Each energy modality has advantages and disadvantages.",NSCLC,ablation energy modality advantage disadvantage
780,"Determination of energy modality to be used for ablation should take into consideration the size 
and location of the target tumor, risk of complication, as well as local expertise and/or operator familiarity.7
Ablation for NSCLC
  IGTA is an option for the management of NSCLC lesions <3 cm.",NSCLC,determination energy modality ablation consideration size location target tumor risk complication local expertise operator ablation nsclc igta option management nsclc lesion cm
781,"Ablation for NSCLC lesions >3 cm may be associated with higher rates of local recurrence 
and complications.8,9
  There is evidence on the use of IGTA for selected patients with  stage IA  NSCLC, those who present with multiple lung cancers, or those who present with 
locoregional recurrence of symptomatic local thoracic disease.",NSCLC,ablation nsclc lesion cm associate high rate local recurrence evidence use igta select patient stage ia nsclc present multiple lung cancer present locoregional recurrence symptomatic local thoracic disease
782,"Like surgery, pneumothorax may occur after IGTA, particularly if multiple lesions are treated in a single session.",NSCLC,like surgery pneumothorax occur igta particularly multiple lesion treat single session
783,"Pneumothorax has been reported in 
18.7%45.7% of IGTA cases.",NSCLC,pneumothorax report igta case
784,"Selflimited pneumothorax, not requiring chest tube placement, is an expected event and not considered a complication 
unless escalation of care is required.",NSCLC,selflimited pneumothorax require chest tube placement expected event consider complication escalation care require
785,"In 20.7% of IGTA cases, chest tube insertion may be required.10PRINCIPLES OF IMAGEGUIDED THERMAL ABLATION THERAPY
NSCLD1 Lam A, Yoshida EJ, Bui K, et al.",NSCLC,igta case chest tube insertion imageguided thermal ablation therapy lam yoshida ej bui k et al
786,"Patient and facility demographics related outcomes in early
stage nonsmall cell lung cancer treated with radiofrequency ablation: a National Cancer 
Database analysis.",NSCLC,patient facility demographic relate outcome early stage nonsmall cell lung cancer treat radiofrequency ablation national cancer database analysis
787,"Radiofrequency ablation followed by conventional 
radiotherapy for medically inoperable stage I nonsmall cell lung cancer.",NSCLC,radiofrequency ablation follow conventional radiotherapy medically inoperable stage nonsmall cell lung cancer
788,"Chest 2006;129:738
745.
3 Lencioni R, Crocetti L, Cioni R, et al.",NSCLC,chest lencioni r crocetti l cioni r et al
789,"Response to radiofrequency ablation of pulmonary 
tumours: a prospective, intentiontotreat, multicentre clinical trial (the RAPTURE study).",NSCLC,response radiofrequency ablation pulmonary tumour prospective intentiontotreat multicentre clinical trial rapture study
790,"Radiofrequency ablation of stage IA nonsmall cell 
lung cancer in medically inoperable patients: Results from the American College of Surgeons 
Oncology Group Z4033 (Alliance) trial.",NSCLC,radiofrequency ablation stage ia nonsmall cell lung cancer medically inoperable patient result american college surgeons oncology group alliance trial
791,"Evaluating cryoablation of metastatic lung tumors 
in patientssafety and efficacy: The ECLIPSE Trialinterim analysis at 1 year.",NSCLC,evaluate cryoablation metastatic lung tumor patientssafety efficacy eclipse trialinterim analysis year
792,"Influence of radiofrequency ablation of lung cancer on 
pulmonary function.",NSCLC,influence radiofrequency ablation lung cancer pulmonary function
793,"Percutaneous radiofrequency ablation for inoperable 
nonsmall cell lung cancer and metastases: preliminary report.",NSCLC,percutaneous radiofrequency ablation inoperable nonsmall cell lung cancer metastasis preliminary report
794,"Percutaneous radiofrequency ablation of lung 
neoplasms: initial therapeutic response.",NSCLC,percutaneous radiofrequency ablation lung neoplasm initial therapeutic response
795,"Society of Interventional Radiology Quality Improvement 
Standards on Percutaneous Ablation of NonSmall Cell Lung Cancer and Metastatic Disease 
to the Lungs.",NSCLC,society interventional radiology quality improvement standards percutaneous ablation nonsmall cell lung cancer metastatic disease lung
796,"ReferencesNeoadjuvant Systemic Therapya
 Patients with tumors ≥4 cm or node positive should be evaluated for preoperative therapy, with strong consideration for an immune 
checkpoint inhibitor + chemotherapy.",NSCLC,referencesneoadjuvant systemic therapya patients tumor cm node positive evaluate preoperative therapy strong consideration immune checkpoint inhibitor chemotherapy
797,"Otherwise refer to the Neoadjuvant Systemic Therapy for Patients Who Are Not Candidates for Immune 
Checkpoint Inhibitors .",NSCLC,refer neoadjuvant systemic therapy patients candidate immune checkpoint inhibitors
798,"Test for PDL1 status, EGFR mutations, and ALK rearrangements (stages IBIIIA, IIIB",NSCLC,test status egfr mutation alk rearrangement stage ibiiia iiib
799,"PDL1 status can be incorporated with other 
clinical and molecular factors to determine patients who may benefit from induction chemotherapy and immune checkpoint inhibitor .",NSCLC,status incorporate clinical molecular factor determine patient benefit induction chemotherapy immune checkpoint inhibitor
800,"See  
Principles of Molecular and Biomarker Analysis (NSCLH).",NSCLC,principle molecular biomarker analysis nsclh
801,"After surgical evaluation, patients ineligible for immunotherapy and likely to receive adjuvant chemotherapy may be treated with neoadjuvant 
systemic therapy as an alternative. Adjuvant Chemotherapy",NSCLC,surgical evaluation patient ineligible immunotherapy likely receive adjuvant chemotherapy treat neoadjuvant systemic therapy alternative adjuvant chemotherapy
802,"Nivolumab and hyaluronidasenvhy has 
different dosing and administration instructions compared to IV nivolumab.",NSCLC,nivolumab hyaluronidasenvhy different dosing administration instruction compare iv nivolumab
803,"Platinumdoublet chemotherapy options include: 
 Carboplatin AUC 5 or AUC 6 day 1, paclitaxel 175 mg/m² or 200 mg/m² day 1 (any histology)",NSCLC,platinumdoublet chemotherapy option include carboplatin auc auc day paclitaxel mg mg day histology
804,"Cisplatin 75 mg/m² day 1, pemetrexed 500 mg/m² day 1 (nonsquamous histology)",NSCLC,cisplatin mg day pemetrexe mg day nonsquamous histology
805,"Cisplatin 75 mg/m² day 1, gemcitabine 1000 mg/m² or 1250 mg/m² days 1 and 8 (squamous histology)",NSCLC,cisplatin mg day gemcitabine mg mg day squamous histology
806,"Cisplatin 75 mg/m² day 1, paclitaxel 175 mg/m²  or 200 mg/m² day 1 (any histology)
Chemotherapy regimens for patients who are not candidates for cisplatinbased therapy
 Carboplatin AUC 5 or AUC 6 day 1, pemetrexed 500 mg/m ² day 1 (nonsquamous histology)
 Carboplatin AUC 5 or AUC 6 day 1, gemcitabine 1000 mg/m² or 1250 mg/m² days 1 and 8 (squamous histology)",NSCLC,cisplatin mg day paclitaxel mg mg day histology chemotherapy regimen patient candidate cisplatinbased therapy carboplatin auc auc day pemetrexe mg m day nonsquamous histology carboplatin auc auc day gemcitabine mg mg day squamous histology
807,"Pembrolizumab 200 mg and cisplatinbased doublet chemotherapy every 3 weeks for 4 cycles and then continued as singleagent 
pembrolizumab as adjuvant treatment after surgery (category 1);3 Systemic Therapy Following Surgical Resection
Cisplatin 75 mg/m² day 1, gemcitabine 1000 mg/m² days 1 and 8 (squamous histology) 
Cisplatin 75 mg/m² day 1, pemetrexed 500 mg/m² day 1 (nonsquamous histology)",NSCLC,pembrolizumab mg cisplatinbased doublet chemotherapy week cycle continue singleagent pembrolizumab adjuvant treatment surgery category systemic therapy follow surgical resection cisplatin mg day gemcitabine mg day squamous histology cisplatin mg day pemetrexe mg day nonsquamous histology
808,"Durvalumab 1500 mg and platinumbased doublet chemotherapy every 3 weeks for 4 cycles and then continued as singleagent durvalumab 
as adjuvant treatment after surgery (for patients with no known EGFR mutations or ALK rearrangements)",NSCLC,durvalumab mg platinumbase doublet chemotherapy week cycle continue singleagent durvalumab adjuvant treatment surgery patient known egfr mutation alk rearrangement
809,"(category 1);4  
Systemic Therapy Following Surgical Resection
Platinumdoublet chemotherapy options include: 
 Carboplatin AUC 6 day 1, paclitaxel 200 mg/m² day 1 (squamous histology)",NSCLC,category systemic therapy follow surgical resection platinumdoublet chemotherapy option include carboplatin auc day paclitaxel mg day squamous histology
810,"Cisplatin 75 mg/m² day 1, gemcitabine 1250 mg/m² days 1 and 8 (squamous histology)",NSCLC,cisplatin mg day gemcitabine mg day squamous histology
811,"Cisplatin 75 mg/m² day 1, pemetrexed 500 mg/m² day 1 (nonsquamous histology)
 Carboplatin AUC 5 day 1, pemetrexed 500 mg/m ² day 1 (nonsquamous histology) 
Chemotherapy regimens for patients who are not candidates for cisplatinbased therapy
 Carboplatin AUC 5 day 1, gemcitabine 1250 mg/m² days 1 and 8 (squamous histology)  
ReferencesNeoadjuvant Systemic Therapy for Patients Who Are Not Candidates for Immune Checkpoint Inhibitors
Systemic Therapy Following Surgical ResectionAdjuvant Chemotherapy
a Contraindications for treatment with PD1/PDL1 inhibitors may include active or previously documented autoimmune disease and/or current use of 
immunosuppressive agents; some oncogenic drivers (ie, EGFR exon 19 deletion or exon 21 L858R; ALK, RET, or ROS1 rearrangements) have been 
shown to be associated with less benefit from PD1/PDL1 inhibitors.",NSCLC,cisplatin mg day pemetrexe mg day nonsquamous histology carboplatin auc day pemetrexe mg m day nonsquamous histology chemotherapy regimen patient candidate cisplatinbased therapy carboplatin auc day gemcitabine mg day squamous histology referencesneoadjuvant systemic therapy patients candidate immune checkpoint inhibitors systemic therapy follow surgical resectionadjuvant chemotherapy contraindication treatment inhibitor include active previously document autoimmune disease current use immunosuppressive agent oncogenic driver ie egfr exon deletion exon alk ret rearrangement show associate benefit inhibitor
812,"For stage IIB (T1 abcT2a, N1), stage IIB (T3, N0; T2b, N1), stage IIIA  (T12, N2; T3, N1; T4, N01), stage IIIB (T34, N2) and negative margins 
(R0), adjuvant chemotherapy is recommended as a category 1.",NSCLC,stage iib stage iib stage iiia stage iiib negative margin adjuvant chemotherapy recommend category
813,All chemotherapy regimens listed below can be used for sequential chemotherapy/RT .,NSCLC,chemotherapy regimen list sequential chemotherapy rt
814,See Principles of Molecular and Biomarker Analysis (NSCLH).,NSCLC,principle molecular biomarker analysis nsclh
815,"Preferred (nonsquamous)
 Cisplatin 75 mg/m2 day 1, pemetrexed 500 mg/m2 day 1 every 21 days for 4 cycles5
Preferred (squamous)
 Cisplatin 75 mg/m2 day 1, gemcitabine 1250 mg/m2 days 1 and 8, every 21 days for 4 cycles6
 Cisplatin 75 mg/m2 day 1, docetaxel 75 mg/m2 day 1 every 21 days for 4 cycles7
Other Recommended
 Cisplatin 50 mg/m2 days 1 and 8; vinorelbine 25 mg/m2 days 1, 8, 15, and 22, every 28 days for 4 cycles8
 Cisplatin 100 mg/m2 day 1, vinorelbine 30 mg/m2 days 1, 8, 15, and 22, every 28 days for 4 cycles9,10
 Cisplatin 7580 mg/m2 day 1, vinorelbine 2530 mg/m2 days 1 and 8, every 21 days for 4 cycles
 Cisplatin 100 mg/m2 day 1, etoposide 100 mg/m2 days 13, every 28 days for 4 cycle9
Useful in Certain Circumstances
 Chemotherapy regimens for patients who are no t candidates for cisplatinbased therapy
Carboplatin AUC 6 day 1, paclitaxel 200 mg/m2 day 1, every 21 days for 4 cycles11
Carboplatin AUC 5 day 1, gemcitabine 1000 mg/m2 days 1 and 8, every 21 days for 4 cycles12 (squamous histology)
Carboplatin AUC 5 day 1, pemetrexed 500 mg/m2 day 1 every 21 days for 4 cycles13 (nonsquamous histology)
 
b Examples of highrisk features may include poorly differentiated tumors (including lung neuroendocrine tumors [excluding welldifferentiated 
neuroendocrine tumors]), vascular invasion, wedge resection, visceral pleural involvement, and unknown lymph node status (Nx).",NSCLC,preferred nonsquamous cisplatin mg day pemetrexe mg day day preferred squamous cisplatin mg day gemcitabine mg day day cisplatin mg day docetaxel mg day day recommend cisplatin mg day vinorelbine mg day day cisplatin mg day vinorelbine mg day day cisplatin mg day vinorelbine mg day day cycle cisplatin mg day etoposide mg day day useful certain circumstance chemotherapy regimen patient t candidate cisplatinbased therapy carboplatin auc day paclitaxel mg day day carboplatin auc day gemcitabine mg day day squamous histology carboplatin auc day pemetrexe mg day day nonsquamous histology b examples highrisk feature include poorly differentiate tumor include lung neuroendocrine tumor exclude welldifferentiate neuroendocrine tumor vascular invasion wedge resection visceral pleural involvement unknown lymph node status nx
816,"These factors 
independently may not be an indication and may be considered when determining treatment with adjuvant chemotherapy.",NSCLC,factor independently indication consider determine treatment adjuvant chemotherapy
817,Patients with completely resected tumors ≥4 cm or nodepositive NSCLC should be evaluated for additional systemic therapy .,NSCLC,patient completely resect tumor cm nodepositive nsclc evaluate additional systemic therapy
818,"Alectinib 600 mg twice daily for 24 months14
For patients with NSCLC positive for ALK rearrangements (category 1).",NSCLC,alectinib mg twice daily patient nsclc positive alk rearrangement category
819,"Osimertinib 80 mg daily for 3 years15 
For patients with NSCLC positive for EGFR (exon 19 deletion, exon 21 L858R) mutations who received previous adjuvant chemotherapy or 
are ineligible to receive platinumbased chemotherapy (category 1).
 Atezolizumab 840 mg every 2 weeks, 1200 mg every 3 weeks, or 1680 mg every 4 weeks for up to 1 year16
For patients with NSCLC with PDL1  ≥1% and negative for EGFR exon 19 deletion or exon 21 L858R mutations or ALK rearrangements who 
received previous adjuvant chemotherapy and with no contraindications to immune checkpoint inhibitors (category 1).",NSCLC,osimertinib mg daily patient nsclc positive egfr exon deletion exon mutation receive previous adjuvant chemotherapy ineligible receive platinumbase chemotherapy category atezolizumab mg week mg week mg week patient nsclc negative egfr exon deletion exon mutation alk rearrangement receive previous adjuvant chemotherapy contraindication immune checkpoint inhibitor category
820,Atezolizumab and hyaluronidasetqjs subcutaneous injection may be substituted for IV atezolizumab.,NSCLC,atezolizumab hyaluronidasetqjs subcutaneous injection substitute iv atezolizumab
821,"Atezolizumab and hyaluronidasetqjs 
has different dosing and administration instructions compared to IV atezolizumab.",NSCLC,atezolizumab hyaluronidasetqjs different dosing administration instruction compare iv atezolizumab
822,"Pembrolizumab 200 mg every 3 weeks or 400 mg every 6 weeks
For up to a year for p atients with NSCLC negative for EGFR exon 19 deletion or exon 21 L858R mutations or ALK rearrangements who 
received previous adjuvant chemotherapy and with no contraindications to immune checkpoint inhibitors (category 1).17",NSCLC,pembrolizumab mg week mg week year p atient nsclc negative egfr exon deletion exon mutation alk rearrangement receive previous adjuvant chemotherapy contraindication immune checkpoint inhibitor category
823,"The benefit for 
patients with PDL1 <1% is unclear.",NSCLC,benefit patient unclear
824,"For up to 39 weeks for patients who received previous neoadjuvant pembrolizumab + chemotherapy (category 1).3 
 Durvalumab 1500 mg every 4 weeks for up to 12 cycles4
For patients who received previous neoadjuvant durvalumab + chemotherapy and no known EGFR mutations or ALK rearrangements  
(category 1).",NSCLC,week patient receive previous neoadjuvant pembrolizumab chemotherapy category durvalumab mg week patient receive previous neoadjuvant durvalumab chemotherapy know egfr mutation alk rearrangement category
825,"Nivolumab 480 mg every 4 weeks for up to 13 cycles2
For patients who received previous neoadjuvant nivolumab + chemotherapy and no known EGFR mutations or ALK rearrangements  
(category 1).",NSCLC,nivolumab mg week patient receive previous neoadjuvant nivolumab chemotherapy know egfr mutation alk rearrangement category
826,Nivolumab and hyaluronidasenvhy subcutaneous injection may be substituted for IV nivolumab.,NSCLC,nivolumab hyaluronidasenvhy subcutaneous injection substitute iv nivolumab
827,"Referencesa Contraindications for treatment with PD1/PDL1 inhibitors may include active or previously documented autoimmune disease and/or current use of 
immunosuppressive agents; some oncogenic drivers (ie, EGFR exon 19 deletion or exon 21 L858R; ALK, RET, or ROS1 rearrangements) have been 
shown to be associated with less benefit from PD1/PDL1 inhibitors.",NSCLC,referencesa contraindications treatment inhibitor include active previously document autoimmune disease current use immunosuppressive agent oncogenic driver ie egfr exon deletion exon alk ret rearrangement show associate benefit inhibitor
828,"c In general, perioperative therapy should be given as a single regimen and change of immunotherapy is not recommended.",NSCLC,c general perioperative therapy give single regimen change immunotherapy recommend
829,Neoadjuvant nivolumab plus chemotherapy in resectable lung cancer.,NSCLC,neoadjuvant nivolumab plus chemotherapy resectable lung cancer
830,Perioperative nivolumab in resectable lung cancer.,NSCLC,perioperative nivolumab resectable lung cancer
831,Perioperative pembrolizumab for earlystage nonsmallcell lung cancer.,NSCLC,perioperative pembrolizumab earlystage nonsmallcell lung cancer
832,"N Engl J Med 2023;389:491503.
4 Heymach JV, Harpole D, Mitsudomi T, et al.",NSCLC,n engl j med heymach jv harpole d mitsudomi t et al
833,Perioperative durvalumab for resectable nonsmallcell lung cancer.,NSCLC,perioperative durvalumab resectable nonsmallcell lung cancer
834,"Randomized phase 2 trial on refinement of earlystage NSCLC adjuvant chemotherapy with cisplatin and pemetrexed 
versus cisplatin and vinorelbine: the TREAT study.",NSCLC,randomized phase trial refinement earlystage nsclc adjuvant chemotherapy cisplatin pemetrexed versus cisplatin vinorelbine treat study
835,"Ann Oncol 2013;24:986992.
6 Pérol M, Chouaid C, Pérol D, et al.",NSCLC,ann oncol pérol m chouaid c pérol d et al
836,"Randomized, phase III study of gemcitabine or erlotinib maintenance therapy versus observation, with predefined secondline 
treatment, after cisplatingemcitabine induction chemotherapy in advanced nonsmallcell lung cancer.",NSCLC,randomize phase iii study gemcitabine erlotinib maintenance therapy versus observation predefine secondline treatment cisplatingemcitabine induction chemotherapy advanced nonsmallcell lung cancer
837,"Randomized, multinational, phase III study of docetaxel plus platinum combinations versus vinorelbine plus cisplatin for 
advanced nonsmallcell lung cancer: the TAX 326 study group.",NSCLC,randomized multinational phase iii study docetaxel plus platinum combination versus vinorelbine plus cisplatin advanced nonsmallcell lung cancer tax study group
838,"J Clin Oncol 2003;21:30163024. 
8 Winton T, Livingston R, Johnson D, et al. Vinorelbine plus cisplatin vs. observation in resected nonsmalllung cancer.",NSCLC,j clin oncol winton t livingston r johnson d et al vinorelbine plus cisplatin observation resect nonsmalllung cancer
839,The International Adjuvant Lung Cancer Trial Collaborative Group.,NSCLC,international adjuvant lung cancer trial collaborative group
840,"Cisplatinbased adjuvant chemotherapy in patients with 
completely resected nonsmall cell lung cancer.",NSCLC,cisplatinbase adjuvant chemotherapy patient completely resect nonsmall cell lung cancer
841,"Adjuvant vinorelbine plus cisplatin versus observation in patients with completely resected stage IBIIIA nonsmallcell lung 
cancer (Adjuvant Navelbine International Trialist Association",NSCLC,adjuvant vinorelbine plus cisplatin versus observation patient completely resect stage ibiiia nonsmallcell lung cancer adjuvant navelbine international trialist association
842,"Adjuvant paclitaxel plus carboplatin compared with observation in stage IB nonsmall cell lung cancer: CALGB 9633 
with the Cancer and Leukemia Group B, Radiation Therapy Oncology Group, and North Central Cancer Treatment Group Study Groups.",NSCLC,adjuvant paclitaxel plus carboplatin compare observation stage ib nonsmall cell lung cancer calgb cancer leukemia group b radiation therapy oncology group north central cancer treatment group study groups
843,"J Clin Oncol 2008;26:5043
5051.
12 Usami N, Yokoi K, Hasegawa Y, et al.",NSCLC,j clin oncol usami n yokoi k hasegawa y et al
844,"Phase II study of carboplatin and gemcitabine as adjuvant chemotherapy in patients with completely resected nonsmall cell 
lung cancer: a report from the Central Japan Lung Study Group, CJLSG 0503 trial.",NSCLC,phase ii study carboplatin gemcitabine adjuvant chemotherapy patient completely resect nonsmall cell lung cancer report central japan lung study group cjlsg trial
845,Pemetrexed plus carboplatin as adjuvant chemotherapy in patients with curative resected nonsquamous nonsmall cell lung cancer.,NSCLC,pemetrexed plus carboplatin adjuvant chemotherapy patient curative resect nonsquamous nonsmall cell lung cancer
846,Alectinib in resected ALKpositive nonsmallcell lung cancer.,NSCLC,alectinib resect alkpositive nonsmallcell lung cancer
847,"N Engl J Med 2024;390:12651276.
15 Wu YL, Tsuboi M, He J, et al.",NSCLC,n engl j med wu yl tsuboi m j et al
848,Osimertinib in resected EGFRmutated nonsmallcell lung cancer.,NSCLC,osimertinib resect egfrmutated nonsmallcell lung cancer
849,"Adjuvant atezolizumab after adjuvant chemotherapy in resected stage IBIIIA nonsmallcell lung cancer (IMpower010): a 
randomised, multicentre, openlabel, phase 3 trial.",NSCLC,adjuvant atezolizumab adjuvant chemotherapy resect stage ibiiia nonsmallcell lung cancer randomise multicentre openlabel phase trial
850,"Lancet 2021;398:13441357.
17 O'Brien M, PazAres L, Marreaud S, et al.",NSCLC,lancet m pazares l marreaud s et al
851,"Pembrolizumab versus placebo as adjuvant therapy for completely resected stage IBIIIA  nonsmallcell lung cancer 
(PEARLS/KEYNOTE091): an interim analysis of a randomised, tripleblind, phase 3 trial.",NSCLC,pembrolizumab versus placebo adjuvant therapy completely resect stage ibiiia nonsmallcell lung cancer pearls interim analysis randomised tripleblind phase trial
